Sr. No.,Date,Versus,Ground,Coordinates,D/N,How Dismissed,Runs,B/F,S/R,Aggr,Avg,S/R
175,18/01/2011,South Africa,Newlands,"33.9789° S, 18.4484° E",Yes,c †A B de Villiers b J Botha,5,12,41.67,5801,49.58,87.93
176,21/01/2011,South Africa,St George's Park,"33.9663° S, 25.6101° E",Yes,c F du Plessis b R J Peterson,2,8,25,5803,49.18,87.86
177,23/01/2011,South Africa,SuperSport Park,"25.8600° S, 28.1955° E
",No,c G C Smith b M Morkel,5,10,50,5808,48.81,87.8
178,19/02/2011,Bangladesh,Shere Bangla National Stadium,"23.8059° N, 90.3642° E",Yes,did not bat,-,-,-,5808,48.81,87.8
179,27/02/2011,England,M Chinnaswamy Stadium,"12.9788° N, 77.5998° E",Yes,c sub b T T Bresnan,31,25,124,5839,48.66,87.94
180,06/03/2011,Ireland,M Chinnaswamy Stadium,"12.9788° N, 77.5998° E",Yes,lbw b G H Dockrell,34,50,68,5873,48.54,87.79
181,09/03/2011,Netherlands,Arun Jaitley Stadium,"28.6379° N, 77.2432° E",Yes,not out,19,40,47.5,5892,48.69,87.55
182,12/03/2011,South Africa,Vidarbha Cricket Association Stadium,"21.0136° N, 79.0397° E",Yes,not out,12,21,57.14,5904,48.79,87.45
183,20/03/2011,West Indies,MA Chidambaram Stadium,"13.0629° N, 80.2792° E",Yes,st D C Thomas b D Bishoo,22,30,73.33,5926,48.57,87.39
184,24/03/2011,Australia,Sardar Patel Stadium,"23.0918° N, 72.5975° E",Yes,c M J Clarke b B Lee,7,8,87.5,5933,48.24,87.39
185,30/03/2011,Pakistan,Punjab Cricket Association IS Bindra Stadium,"30.6909° N, 76.7375° E
",Yes,lbw b Wahab Riaz,25,42,59.52,5958,48.05,87.22
186,02/04/2011,Sri Lanka,Wankhede Stadium,"18.9389° N, 72.8258° E",Yes,not out,91,79,115.19,6049,48.78,87.54
187,03/09/2011,England,Riverside Ground,"54.8496° N, 1.5608° W
",No,c †C Kieswetter b T T Bresnan,33,36,91.67,6082,48.66,87.56
188,06/09/2011,England,The Rose Bowl,"50.9240° N, 1.3219° W",Yes,c I R Bell b T T Bresnan,6,5,120,6088,48.32,87.58
189,09/09/2011,England,Kennington Oval,"51.4838° N, 0.1150° W",Yes,c A N Cook b T T Bresnan,69,103,66.99,6157,48.48,87.28
190,11/09/2011,England,Lord's,"51.5298° N, 0.1722° W
",No,not out,78,71,109.86,6235,49.09,87.51
191,16/09/2011,England,Sophia Gardens,"51.4873° N, 3.1915° W
",No,not out,50,26,192.31,6285,49.49,87.89
192,14/10/2011,England,Rajiv Gandhi International Stadium,"17.4065° N, 78.5505° E",Yes,not out,87,70,124.29,6372,50.17,88.24
193,17/10/2011,England,Arun Jaitley Stadium,"28.6379° N, 77.2432° E",Yes,did not bat,-,-,-,6372,50.17,88.24
194,20/10/2011,England,Punjab Cricket Association IS Bindra Stadium,"30.6909° N, 76.7375° E
",Yes,not out,35,31,112.9,6407,50.45,88.35
195,23/10/2011,England,Wankhede Stadium,"18.9389° N, 72.8258° E",Yes,not out,15,18,83.33,6422,50.57,88.34
196,25/10/2011,England,Eden Gardens,"22.5646° N, 88.3433° E",Yes,not out,75,69,108.7,6497,51.16,88.53
197,05/02/2012,Australia,Melbourne Cricket Ground,"37.8200° S, 144.9834° E",Yes,c D A Warner b X J Doherty,29,38,76.32,6526,50.98,88.46
198,08/02/2012,Sri Lanka,WACA Ground,"31.9598° S, 115.8795° E
",Yes,c S L Malinga b K T G D Prasad,4,5,80,6530,50.62,88.46
199,12/02/2012,Australia,Adelaide Oval,34°54?56?S 138°35?46?E,Yes,not out,44,58,75.86,6574,50.96,88.36
200,14/02/2012,Sri Lanka,Adelaide Oval,34°54?56?S 138°35?46?E,Yes,not out,58,69,84.06,6632,51.41,88.32
201,19/02/2012,Australia,Brisbane Cricket Ground,"27.4858° S, 153.0381° E",Yes,c D T Christian b B W Hilfenhaus,56,84,66.67,6688,51.45,88.08
202,26/02/2012,Australia,Sydney Cricket Ground,"33.8915° S, 151.2249° E",Yes,lbw b B W Hilfenhaus,14,49,28.57,6702,51.16,87.7
203,28/02/2012,Sri Lanka,Bellerive Oval,"42.8773° S, 147.3740° E
",Yes,did not bat,-,-,-,6702,51.16,87.7
204,13/03/2012,Sri Lanka,Shere Bangla National Stadium,"23.8059° N, 90.3642° E",Yes,not out,46,26,176.92,6748,51.51,88
205,16/03/2012,Bangladesh,Shere Bangla National Stadium,"23.8059° N, 90.3642° E",Yes,not out,21,11,190.91,6769,51.67,88.15
206,18/03/2012,Pakistan,Shere Bangla National Stadium,"23.8059° N, 90.3642° E",Yes,not out,4,1,400,6773,51.7,88.19
207,21/07/2012,Sri Lanka,Mahinda Rajapaksha International Cricket Stadium," 6°21?23?N, 81°1?35?E",Yes,c H D R L Thirimanne b N L T C Perera,35,29,120.69,6808,51.58,88.31
208,24/07/2012,Sri Lanka,Mahinda Rajapaksha International Cricket Stadium," 6°21?23?N, 81°1?35?E",Yes,c †K C Sangakkara b A D Mathews,11,16,68.75,6819,51.27,88.27
209,28/07/2012,Sri Lanka,R Premadasa Stadium,"6.9394° N, 79.8720° E
",Yes,b S L Malinga,31,49,63.27,6850,51.12,88.11
210,31/07/2012,Sri Lanka,R Premadasa Stadium,"6.9394° N, 79.8720° E
",Yes,did not bat,-,-,-,6850,51.12,88.11
211,04/08/2012,Sri Lanka,Pallekele International Cricket Stadium,"7.2807° N, 80.7225° E
",Yes,c †L D Chandimal b S L Malinga,58,38,152.63,6908,51.17,88.43
212,30/12/2012,Pakistan,MA Chidambaram Stadium,"13.0629° N, 80.2792° E",No,not out,113,125,90.4,7021,52.01,88.46
213,03/01/2013,Pakistan,Eden Gardens,"22.5646° N, 88.3433° E",Yes,not out,54,89,60.67,7075,52.41,88.15
214,06/01/2013,Pakistan,Arun Jaitley Stadium,"28.6379° N, 77.2432° E",Yes,c Umar Akmal b Umar Gul,36,55,65.45,7111,52.29,88
215,11/01/2013,England,Saurashtra Cricket Association Stadium,"22.3617° N, 70.7091° E
",Yes,c J E Root b J W Dernbach,32,25,128,7143,52.14,88.12
216,15/01/2013,England,Nehru Stadium (Kochi),"9.9973° N, 76.3007° E",Yes,c J E Root b J W Dernbach,72,66,109.09,7215,52.28,88.29
217,19/01/2013,England,JSCA International Stadium Complex,"23.3102° N, 85.2748° E
",Yes,not out,10,12,83.33,7225,52.36,88.28
218,23/01/2013,England,Punjab Cricket Association IS Bindra Stadium,"30.6909° N, 76.7375° E
",Yes,c E J G Morgan b J W Dernbach,19,21,90.48,7244,52.12,88.29
219,27/01/2013,England,Himachal Pradesh Cricket Association Stadium,"32.1976° N, 76.3258° E
",No,lbw b S T Finn,15,23,65.22,7259,51.85,88.22
220,06/06/2013,South Africa,Sophia Gardens,"51.4873° N, 3.1915° W
",No,c F du Plessis b L L Tsotsobe,27,26,103.85,7286,51.67,88.27
221,11/06/2013,West Indies,Kennington Oval,"51.4838° N, 0.1150° W",No,did not bat,-,-,-,7286,51.67,88.27
222,15/06/2013,Pakistan,Edgbaston,"52.4553° N, 1.9040° W
",No,did not bat,-,-,-,7286,51.67,88.27
223,20/06/2013,Sri Lanka,Sophia Gardens,"51.4873° N, 3.1915° W
",No,did not bat,-,-,-,7286,51.67,88.27
224,23/06/2013,England,Edgbaston,"52.4553° N, 1.9040° W
",No,c J C Tredwell b R S Bopara,0,4,0,7286,51.31,88.23
225,30/06/2013,West Indies,Sabina Park,"17.9779° N, 76.7825° W
",No,b T L Best,27,35,77.14,7313,51.14,88.18
226,11/07/2013,Sri Lanka,Queen's Park Oval,"10.6674° N, 61.5237° W",No,not out,45,52,86.54,7358,51.45,88.17
227,13/10/2013,Australia,Maharashtra Cricket Association Stadium,"18.6745° N, 73.7065° E
",Yes,b C J McKay,19,22,86.36,7377,51.23,88.17
228,16/10/2013,Australia,Sawai Mansingh Stadium,"26.8940° N, 75.8032° E",Yes,did not bat,-,-,-,7377,51.23,88.17
229,19/10/2013,Australia,Punjab Cricket Association IS Bindra Stadium,"30.6909° N, 76.7375° E
",Yes,not out,139,121,114.88,7516,52.19,88.55
230,23/10/2013,Australia,JSCA International Stadium Complex,"23.3102° N, 85.2748° E
",Yes,did not bat,-,-,-,7516,52.19,88.55
231,30/10/2013,Australia,Vidarbha Cricket Association Stadium,"21.0136° N, 79.0397° E",Yes,not out,25,23,108.7,7541,52.37,88.6
232,02/11/2013,Australia,M Chinnaswamy Stadium,"12.9788° N, 77.5998° E",Yes,run out,62,38,163.16,7603,52.43,88.93
233,21/11/2013,West Indies,Nehru Stadium (Kochi),"9.9973° N, 76.3007° E",No,not out,13,7,185.71,7616,52.52,89.01
234,24/11/2013,West Indies,Dr YS Rajasekhara Reddy Cricket Stadium,"17.7977° N, 83.3523° E",No,not out,51,40,127.5,7667,52.88,89.19
235,27/11/2013,West Indies,Green Park,"26.4813° N, 80.3473° E
",No,not out,23,23,100,7690,53.03,89.22
236,05/12/2013,South Africa,Wanderers Stadium,"26.1319° S, 28.0577° E
",Yes,b D W Steyn,65,71,91.55,7755,53.12,89.24
237,08/12/2013,South Africa,Kingsmead,"29.8502° S, 31.0279° E",No,c †Q de Kock b V D Philander,19,31,61.29,7774,52.88,89.14
238,11/12/2013,South Africa,SuperSport Park,"25.8600° S, 28.1955° E
",Yes,did not bat,-,-,-,7774,52.88,89.14
239,19/01/2014,New Zealand,McLean Park,"39.5022° S, 176.9128° E
",Yes,c †L Ronchi b M J McClenaghan,40,46,86.96,7814,52.8,89.13
240,22/01/2014,New Zealand,Seddon Park,"37.7867° S, 175.2742° E
",Yes,c K S Williamson b C J Anderson,56,44,127.27,7870,52.82,89.32
241,25/01/2014,New Zealand,Eden Park,"36.8750° S, 174.7448° E
",Yes,c T G Southee b C J Anderson,50,60,83.33,7920,52.8,89.28
242,28/01/2014,New Zealand,Seddon Park,"37.7867° S, 175.2742° E
",Yes,not out,79,73,108.22,7999,53.33,89.43
243,31/01/2014,New Zealand,Westpac Stadium,"41.2729° S, 174.7859° E
",Yes,c J D S Neesham b K S Williamson,47,72,65.28,8046,53.28,89.24
244,27/08/2014,England,Sophia Gardens,"51.4873° N, 3.1915° W
",No,b C R Woakes,52,51,101.96,8098,53.28,89.31
245,30/08/2014,England,Trent Bridge,"52.9361° N, 1.1327° W
",No,did not bat,-,-,-,8098,53.28,89.31
246,02/09/2014,England,Edgbaston,"52.4553° N, 1.9040° W
",No,did not bat,-,-,-,8098,53.28,89.31
247,05/09/2014,England,Headingley,"53.8177° N, 1.5817° W",No,c B A Stokes b S T Finn,29,42,69.05,8127,53.12,89.22
248,08/10/2014,West Indies,Nehru Stadium (Kochi),"9.9973° N, 76.3007° E",Yes,b D J G Sammy,8,21,38.1,8135,52.82,89.1
249,11/10/2014,West Indies,Arun Jaitley Stadium,"28.6379° N, 77.2432° E",Yes,not out,51,40,127.5,8186,53.16,89.27
250,17/10/2014,West Indies,Himachal Pradesh Cricket Association Stadium,"32.1976° N, 76.3258° E
",Yes,run out,6,5,120,8192,52.85,89.29
251,18/01/2015,Australia,Melbourne Cricket Ground,"37.8200° S, 144.9834° E",Yes,b M A Starc,19,31,61.29,8211,52.63,89.19
252,20/01/2015,England,Brisbane Cricket Ground,"27.4858° S, 153.0381° E",Yes,c †J C Buttler b S T Finn,34,61,55.74,8245,52.52,88.97
253,26/01/2015,Australia,Sydney Cricket Ground,"33.8915° S, 151.2249° E",Yes,did not bat,-,-,-,8245,52.52,88.97
254,30/01/2015,England,WACA Ground,"31.9598° S, 115.8795° E
",No,lbw b J M Anderson,17,32,53.13,8262,52.29,88.85
255,15/02/2015,Pakistan,Adelaide Oval,"34°54?56?S, 138°35?46?E",Yes,c Misbah-ul-Haq b Sohail Khan,18,13,138.46,8280,52.08,88.92
256,22/02/2015,South Africa,Melbourne Cricket Ground,"37.8200° S, 144.9834° E",Yes,c †Q de Kock b M Morkel,18,11,163.64,8298,51.86,89.01
257,28/02/2015,United Arab Emirates,WACA Ground,"31.9598° S, 115.8795° E
",Yes,did not bat,-,-,-,8298,51.86,89.01
258,06/03/2015,West Indies,WACA Ground,"31.9598° S, 115.8795° E
",Yes,not out,45,56,80.36,8343,52.14,88.95
259,10/03/2015,Ireland,Seddon Park,"37.7867° S, 175.2742° E
",Yes,did not bat,-,-,-,8343,52.14,88.95
260,14/03/2015,Zimbabwe,Eden Park,"36.8750° S, 174.7448° E
",Yes,not out,85,76,111.84,8428,52.68,89.14
261,19/03/2015,Bangladesh,Melbourne Cricket Ground,"37.8200° S, 144.9834° E",Yes,c Nasir Hossain b Taskin Ahmed,6,11,54.55,8434,52.39,89.1
262,26/03/2015,Australia,Sydney Cricket Ground,"33.8915° S, 151.2249° E",Yes,run out,65,65,100,8499,52.46,89.17
263,18/06/2015,Bangladesh,Shere Bangla National Stadium,"23.8059° N, 90.3642° E",Yes,c †Mushfiqur Rahim b Shakib Al Hasan,5,7,71.43,8504,52.17,89.16
264,21/06/2015,Bangladesh,Shere Bangla National Stadium,"23.8059° N, 90.3642° E",Yes,c Soumya Sarkar b Mustafizur Rahman,47,75,62.67,8551,52.14,88.95
265,24/06/2015,Bangladesh,Shere Bangla National Stadium,"23.8059° N, 90.3642° E",Yes,c Mustafizur Rahman b Mashrafe Mortaza,69,77,89.61,8620,52.24,88.96
266,11/10/2015,South Africa,Green Park,"26.4813° N, 80.3473° E
",No,c & b K Rabada,31,30,103.33,8651,52.11,89
267,14/10/2015,South Africa,Holkar Cricket Stadium,"22.7243° N, 75.8797° E
",Yes,not out,92,86,106.98,8743,52.67,89.16
268,18/10/2015,South Africa,Saurashtra Cricket Association Stadium,"22.3617° N, 70.7091° E
",Yes,c D W Steyn b M Morkel,47,61,77.05,8790,52.63,89.08
269,22/10/2015,South Africa,MA Chidambaram Stadium,"13.0629° N, 80.2792° E",Yes,c A B de Villiers b D W Steyn,15,16,93.75,8805,52.41,89.09
270,25/10/2015,South Africa,Wankhede Stadium,"18.9389° N, 72.8258° E",Yes,b Imran Tahir,27,29,93.1,8832,52.26,89.1
271,12/01/2016,Australia,WACA Ground,"31.9598° S, 115.8795° E
",No,c S M Boland b J P Faulkner,18,13,138.46,8850,52.06,89.17
272,15/01/2016,Australia,Brisbane Cricket Ground,"27.4858° S, 153.0381° E",Yes,c G J Maxwell b S M Boland,11,10,110,8861,51.82,89.19
273,17/01/2016,Australia,Melbourne Cricket Ground,"37.8200° S, 144.9834° E",Yes,c G J Maxwell b J W Hastings,23,9,255.56,8884,51.65,89.34
274,20/01/2016,Australia,Manuka Oval,"35.3181° S, 149.1347° E
",Yes,c †M S Wade b J W Hastings,0,3,0,8884,51.35,89.31
275,23/01/2016,Australia,Sydney Cricket Ground,"33.8915° S, 151.2249° E",Yes,c D A Warner b M R Marsh,34,42,80.95,8918,51.25,89.28
276,11/06/2016,Zimbabwe,Harare Sports Club,"17°48?50.67?S, 31°3?2.08?E",No,did not bat,-,-,-,8918,51.25,89.28
277,13/06/2016,Zimbabwe,Harare Sports Club,"17°48?50.67?S, 31°3?2.08?E",No,did not bat,-,-,-,8918,51.25,89.28
278,15/06/2016,Zimbabwe,Harare Sports Club,"17°48?50.67?S, 31°3?2.08?E",No,did not bat,-,-,-,8918,51.25,89.28
279,16/10/2016,New Zealand,Himachal Pradesh Cricket Association Stadium,"32.1976° N, 76.3258° E
",Yes,run out,21,24,87.5,8939,51.08,89.27
280,20/10/2016,New Zealand,Arun Jaitley Stadium,"28.6379° N, 77.2432° E",Yes,c & b T G Southee,39,65,60,8978,51.01,89.09
281,23/10/2016,New Zealand,Punjab Cricket Association IS Bindra Stadium,"30.6909° N, 76.7375° E
",Yes,c L R P L Taylor b M J Henry,80,91,87.91,9058,51.18,89.07
282,26/10/2016,New Zealand,JSCA International Stadium Complex,"23.3102° N, 85.2748° E
",Yes,b J D S Neesham,11,31,35.48,9069,50.95,88.91
283,29/10/2016,New Zealand,Dr YS Rajasekhara Reddy Cricket Stadium,"17.7977° N, 83.3523° E",Yes,lbw b M J Santner,41,59,69.49,9110,50.89,88.8
284,15/01/2017,England,Maharashtra Cricket Association Stadium,"18.6745° N, 73.7065° E
",Yes,c D J Willey b J T Ball,6,6,100,9116,50.64,88.81
285,19/01/2017,England,Barabati Stadium,"20.4807° N, 85.8686° E",Yes,c D J Willey b L E Plunkett,134,122,109.84,9250,51.1,89.05
286,22/01/2017,England,Eden Gardens,"22.5646° N, 88.3433° E",Yes,c †J C Buttler b J T Ball,25,36,69.44,9275,50.96,88.99
287,04/06/2017,Pakistan,Edgbaston,"52.4553° N, 1.9040° W
",No,did not bat,-,-,-,9275,50.96,88.99
288,08/06/2017,Sri Lanka,Kennington Oval,"51.4838° N, 0.1150° W",No,c L D Chandimal b N L T C Perera,63,52,121.15,9338,51.03,89.15
289,11/06/2017,South Africa,Kennington Oval,"51.4838° N, 0.1150° W",No,did not bat,-,-,-,9338,51.03,89.15
290,15/06/2017,Bangladesh,Edgbaston,"52.4553° N, 1.9040° W
",No,did not bat,-,-,-,9338,51.03,89.15
291,18/06/2017,Pakistan,Kennington Oval,"51.4838° N, 0.1150° W
",No,c Imad Wasim b Hasan Ali,4,16,25,9342,50.77,89.05
292,23/06/2017,West Indies,Queen's Park Oval,"10.6674° N, 61.5237° W",No,not out,9,9,100,9351,50.82,89.06
293,25/06/2017,West Indies,Queen's Park Oval,"10.6674° N, 61.5237° W",No,not out,13,13,100,9364,50.89,89.07
294,30/06/2017,West Indies,Sir Vivian Richards Stadium,"17.1029° N, 61.7849° W
",No,not out,78,79,98.73,9442,51.32,89.14
295,02/07/2017,West Indies,Sir Vivian Richards Stadium,"17.1029° N, 61.7849° W
",No,c A S Joseph b K O K Williams,54,114,47.37,9496,51.33,88.7
296,06/07/2017,West Indies,Sabina Park,"17.9779° N, 76.7825° W
",No,did not bat,-,-,-,9496,51.33,88.7
297,20/08/2017,Sri Lanka,Rangiri Dambulla International Stadium,"7.8595° N, 80.6340° E
",No,did not bat,-,-,-,9496,51.33,88.7
298,24/08/2017,Sri Lanka,Pallekele International Cricket Stadium,"7.2807° N, 80.7225° E
",Yes,not out,45,68,66.18,9541,51.57,88.56
299,27/08/2017,Sri Lanka,Pallekele International Cricket Stadium,"7.2807° N, 80.7225° E
",Yes,not out,67,86,77.91,9608,51.94,88.47
300,31/08/2017,Sri Lanka,R Premadasa Stadium,"6.9394° N, 79.8720° E
",Yes,not out,49,42,116.67,9657,52.2,88.58
301,03/09/2017,Sri Lanka,R Premadasa Stadium,"6.9394° N, 79.8720° E
",Yes,not out,1,1,100,9658,52.21,88.58
302,17/09/2017,Australia,MA Chidambaram Stadium,"13.0629° N, 80.2792° E",Yes,c D A Warner b J P Faulkner,79,88,89.77,9737,52.35,88.59
303,21/09/2017,Australia,Eden Gardens,"22.5646° N, 88.3433° E",Yes,c S P D Smith b K W Richardson,5,10,50,9742,52.1,88.56
304,24/09/2017,Australia,Holkar Cricket Stadium,"22.7243° N, 75.8797° E
",Yes,not out,3,6,50,9745,52.11,88.53
305,28/09/2017,Australia,M Chinnaswamy Stadium,"12.9788° N, 77.5998° E",Yes,b K W Richardson,13,10,130,9758,51.9,88.57
306,01/10/2017,Australia,Vidarbha Cricket Association Stadium,"21.0136° N, 79.0397° E",Yes,did not bat,-,-,-,9758,51.9,88.57
307,22/10/2017,New Zealand,Wankhede Stadium,"18.9389° N, 72.8258° E",Yes,c M J Guptill b T A Boult,25,42,59.52,9783,51.76,88.46
308,25/10/2017,New Zealand,Maharashtra Cricket Association Stadium,"18.6745° N, 73.7065° E
",Yes,not out,18,21,85.71,9801,51.86,88.46
309,29/10/2017,New Zealand,Green Park,"26.4813° N, 80.3473° E
",Yes,c C Munro b A F Milne,25,17,147.06,9826,51.72,88.55
310,10/12/2017,Sri Lanka,Himachal Pradesh Cricket Association Stadium,"32.1976° N, 76.3258° E
",Yes,c M D Gunathilaka b N L T C Perera,65,87,74.71,9891,51.79,88.44
311,13/12/2017,Sri Lanka,Punjab Cricket Association IS Bindra Stadium,"30.6909° N, 76.7375° E
",Yes,lbw b N L T C Perera,7,5,140,9898,51.55,88.46
312,17/12/2017,Sri Lanka,Dr YS Rajasekhara Reddy Cricket Stadium,"17.7977° N, 83.3523° E",Yes,did not bat,-,-,-,9898,51.55,88.46
313,01/02/2018,South Africa,Kingsmead,"29.8502° S, 31.0279° E",Yes,not out,4,3,133.33,9902,51.57,88.47
314,04/02/2018,South Africa,SuperSport Park,"25.8600° S, 28.1955° E
",Yes,did not bat,-,-,-,9902,51.57,88.47
315,07/02/2018,South Africa,Newlands,"33.9737° S, 18.4688° E
",Yes,c L Ngidi b Imran Tahir,10,22,45.45,9912,51.36,88.39
316,10/02/2018,South Africa,Wanderers Stadium,"26.1319° S, 28.0577° E
",Yes,not out,42,43,97.67,9954,51.58,88.42
317,13/02/2018,South Africa,St George's Park,"33.9663° S, 25.6101° E",Yes,c A K Markram b L Ngidi,13,17,76.47,9967,51.38,88.41
318,16/02/2018,South Africa,SuperSport Park,"25.8600° S, 28.1955° E
",Yes,did not bat,-,-,-,9967,51.38,88.41
319,12/07/2018,England,Trent Bridge,"52.9361° N, 1.1327° W
",No,did not bat,-,-,-,9967,51.38,88.41
320,14/07/2018,England,Lord's,"51.5298° N, 0.1722° W
",No,c B A Stokes b L E Plunkett,37,59,62.71,10004,51.3,88.27
321,17/07/2018,England,Headingley,"53.8177° N, 1.5817° W",No,c †J C Buttler b D J Willey,42,66,63.64,10046,51.26,88.13
322,18/09/2018,Hong Kong,Dubai International Cricket Stadium,"25.0467° N, 55.2189° E",Yes,c †S S McKechnie b Ehsan Khan,0,3,0,10046,50.99,88.11
323,19/09/2018,Pakistan,Dubai International Cricket Stadium,"25.0467° N, 55.2189° E",Yes,did not bat,-,-,-,10046,50.99,88.11
324,21/09/2018,Bangladesh,Dubai International Cricket Stadium,"25.0467° N, 55.2189° E",Yes,c Mohammad Mithun b Mashrafe Mortaza,33,37,89.19,10079,50.9,88.11
325,23/09/2018,Pakistan,Dubai International Cricket Stadium,"25.0467° N, 55.2189° E",Yes,did not bat,-,-,-,10079,50.9,88.11
326,25/09/2018,Afghanistan,Dubai International Cricket Stadium,"25.0467° N, 55.2189° E",Yes,lbw b Javed Ahmadi,8,17,47.06,10087,50.69,88.05
327,28/09/2018,Bangladesh,Dubai International Cricket Stadium,"25.0467° N, 55.2189° E",Yes,c †Mushfiqur Rahim b Mustafizur Rahman,36,67,53.73,10123,50.62,87.85
328,21/10/2018,West Indies,Barsapara Cricket Stadium,"26.1452° N, 91.7364° E
",Yes,did not bat,-,-,-,10123,50.62,87.85
329,24/10/2018,West Indies,Dr YS Rajasekhara Reddy Cricket Stadium,"17.7977° N, 83.3523° E",Yes,b O C McCoy,20,25,80,10143,50.46,87.83
330,27/10/2018,West Indies,Maharashtra Cricket Association Stadium,"18.6745° N, 73.7065° E
",Yes,c †S D Hope b J O Holder,7,11,63.64,10150,50.25,87.81
331,29/10/2018,West Indies,Brabourne Stadium,"18.9323° N, 72.8247° E
",Yes,c C Hemraj b K A J Roach,23,15,153.33,10173,50.11,87.9
332,01/11/2018,West Indies,Greenfield International Stadium,"8.5716° N, 76.8844° E
",Yes,did not bat,-,-,-,10173,50.11,87.9
333,12/01/2019,Australia,Sydney Cricket Ground,"33.8915° S, 151.2249° E",Yes,lbw b J P Behrendorff,51,96,53.13,10224,50.12,87.61
334,15/01/2019,Australia,Adelaide Oval,34°54?56?S 138°35?46?E,Yes,not out,55,54,101.85,10279,50.39,87.67
335,18/01/2019,Australia,Melbourne Cricket Ground,"37.8200° S, 144.9834° E",Yes,not out,87,114,76.32,10366,50.81,87.57
336,23/01/2019,New Zealand,McLean Park,"39.5022° S, 176.9128° E
",Yes,did not bat,-,-,-,10366,50.81,87.57
337,26/01/2019,New Zealand,Bay Oval,"37.6528° S, 176.1908° E
",Yes,not out,48,33,145.45,10414,51.05,87.73
338,03/02/2019,New Zealand,Westpac Stadium,"41.2729° S, 174.7859° E
",Yes,b T A Boult,1,6,16.67,10415,50.8,87.69
339,02/03/2019,Australia,Rajiv Gandhi International Stadium,"17.4065° N, 78.5505° E",Yes,not out,59,72,81.94,10474,51.09,87.66
340,05/03/2019,Australia,Vidarbha Cricket Association Stadium,"21.0136° N, 79.0397° E",Yes,c U T Khawaja b A Zampa,0,1,0,10474,50.84,87.65
341,08/03/2019,Australia,JSCA International Stadium Complex,"23.3102° N, 85.2748° E
",Yes,b A Zampa,26,42,61.9,10500,50.72,87.56
342,05/06/2019,South Africa,The Rose Bowl,"50.9240° N, 1.3219° W",No,c & b C H Morris,34,46,73.91,10534,50.64,87.51
343,09/06/2019,Australia,Kennington Oval,"51.4838° N, 0.1150° W",No,c & b M P Stoinis,27,14,192.86,10561,50.53,87.63
344,16/06/2019,Pakistan,Old Trafford,"53.4564° N, 2.2868° W",No,c †Sarfaraz Ahmed b Mohammad Amir,1,2,50,10562,50.3,87.62
345,22/06/2019,Afghanistan,The Rose Bowl,"50.9240° N, 1.3219° W",No,st Ikram Ali Khil b Rashid Khan,28,52,53.85,10590,50.19,87.48
346,27/06/2019,West Indies,Old Trafford,"53.4564° N, 2.2868° W",No,not out,56,61,91.8,10646,50.45,87.5
347,30/06/2019,England,Edgbaston,"52.4553° N, 1.9040° W
",No,not out,42,31,135.48,10688,50.65,87.62
348,02/07/2019,Bangladesh,Edgbaston,"52.4553° N, 1.9040° W
",No,c Shakib Al Hasan b Mustafizur Rahman,35,33,106.06,10723,50.58,87.67
349,06/07/2019,Sri Lanka,Headingley,"53.8177° N, 1.5817° W",No,did not bat,-,-,-,10723,50.58,87.67
350,09/07/2019,New Zealand,Old Trafford,"53.4564° N, 2.2868° W",No,run out,50,72,69.44,10773,50.58,87.56
,,,,,,,,12303,,,,
